epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,7182.76,0.46051,0.3203,0.00721,0.92997,0.87779,0.92057,0.81322,0.49781,0.53991,0.01176,0.000112658,0.000112658,0.000112658
78,7272.11,0.43944,0.31453,0.00689,0.92918,0.86124,0.91402,0.81129,0.49964,0.52538,0.01184,0.000108154,0.000108154,0.000108154
79,7359.96,0.4453,0.30687,0.00696,0.93215,0.86044,0.90644,0.79914,0.51939,0.58238,0.01236,0.000103649,0.000103649,0.000103649
80,7451.59,0.43315,0.30613,0.00693,0.94116,0.8613,0.91074,0.804,0.50472,0.55757,0.01182,9.91445e-05,9.91445e-05,9.91445e-05
81,7540.86,0.4379,0.30736,0.00699,0.92998,0.87288,0.91774,0.8133,0.50028,0.52404,0.01173,9.464e-05,9.464e-05,9.464e-05
82,7630.23,0.44061,0.31603,0.0068,0.92761,0.87499,0.91372,0.81226,0.49803,0.53679,0.01171,9.01355e-05,9.01355e-05,9.01355e-05
83,7721.07,0.4309,0.30985,0.00671,0.93488,0.86893,0.91176,0.80813,0.50287,0.54418,0.01193,8.5631e-05,8.5631e-05,8.5631e-05
84,7815.51,0.42541,0.30045,0.00661,0.92773,0.88176,0.91554,0.80852,0.50656,0.53271,0.01192,8.11265e-05,8.11265e-05,8.11265e-05
85,7911.95,0.42407,0.29583,0.00671,0.94136,0.86988,0.91364,0.81212,0.49874,0.54067,0.01167,7.6622e-05,7.6622e-05,7.6622e-05
86,8004.61,0.43001,0.30121,0.00668,0.91767,0.87786,0.9153,0.81231,0.49999,0.54502,0.01176,7.21175e-05,7.21175e-05,7.21175e-05
87,8096.21,0.42599,0.29383,0.00655,0.9201,0.87795,0.9155,0.81374,0.49322,0.54073,0.01159,6.7613e-05,6.7613e-05,6.7613e-05
88,8189.31,0.42081,0.28577,0.00656,0.92232,0.88091,0.91402,0.80946,0.50282,0.54901,0.01191,6.31085e-05,6.31085e-05,6.31085e-05
89,8283.22,0.41662,0.28766,0.00649,0.92628,0.87805,0.91684,0.81182,0.49528,0.53527,0.01169,5.8604e-05,5.8604e-05,5.8604e-05
90,8374.47,0.41152,0.28305,0.00656,0.93605,0.87356,0.91377,0.81319,0.49345,0.53978,0.01158,5.40995e-05,5.40995e-05,5.40995e-05
91,8475.04,0.30854,0.17702,0.00657,0.93858,0.86671,0.91269,0.8097,0.50202,0.54173,0.01187,4.9595e-05,4.9595e-05,4.9595e-05
92,8565.67,0.29821,0.17024,0.00598,0.93401,0.85878,0.90832,0.80634,0.50348,0.54097,0.01187,4.50905e-05,4.50905e-05,4.50905e-05
93,8654.37,0.29004,0.16146,0.00584,0.91923,0.86926,0.90833,0.80212,0.50684,0.55354,0.01189,4.0586e-05,4.0586e-05,4.0586e-05
94,8742.5,0.28731,0.15876,0.00594,0.92161,0.87672,0.90724,0.80531,0.50474,0.55317,0.01192,3.60815e-05,3.60815e-05,3.60815e-05
95,8831.75,0.28871,0.16262,0.00578,0.93099,0.86955,0.90933,0.80703,0.50484,0.53954,0.01188,3.1577e-05,3.1577e-05,3.1577e-05
96,8919.93,0.28203,0.14959,0.00567,0.94476,0.86131,0.90806,0.80309,0.50498,0.54066,0.01189,2.70725e-05,2.70725e-05,2.70725e-05
97,9008.42,0.27973,0.1494,0.00564,0.94662,0.85708,0.90931,0.80482,0.50246,0.54563,0.01177,2.2568e-05,2.2568e-05,2.2568e-05
98,9098.55,0.27769,0.15282,0.00552,0.94859,0.86151,0.90654,0.80565,0.50301,0.54764,0.0118,1.80635e-05,1.80635e-05,1.80635e-05
99,9186.93,0.27786,0.14888,0.00552,0.93457,0.85829,0.90639,0.80644,0.50052,0.55428,0.01173,1.3559e-05,1.3559e-05,1.3559e-05
100,9276.12,0.27031,0.14463,0.00544,0.93979,0.85692,0.90866,0.80864,0.49882,0.55246,0.01168,9.0545e-06,9.0545e-06,9.0545e-06
